rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"['e2e4', 'd2d4', 'c2c4', 'f2f4', 'a2a3', 'b2b3', 'e2e3', 'g1f3', 'b1c3', 'c2c3', 'g2g3', 'b2b4', 'g2g4', 'd2d3', 'f2f3', 'a2a4', 'h2h3', 'b1a3', 'h2h4', 'g1h3']","[72120, 56730, 12275, 204, 34, 616, 54, 15451, 87, 23, 609, 33, 14, 15, 3, 8, 3, 1, 2, 1]"
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 1,"['e7e5', 'd7d5', 'c7c5', 'e7e6', 'g7g6', 'b7b6', 'f7f6', 'c7c6', 'b8c6', 'g8f6', 'd7d6', 'a7a6', 'h7h6']","[30464, 728, 26300, 6662, 765, 76, 1, 5022, 138, 762, 1193, 8, 1]"
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq e6 0 1,"['f1c4', 'f2f4', 'd2d4', 'g1f3', 'b1c3', 'c2c3', 'g1e2', 'd1h5', 'd2d3', 'e1e2', 'h2h3', 'g2g3']","[579, 980, 210, 28021, 648, 3, 10, 7, 1, 5, 2, 1]"
rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 0 1,"['g8f6', 'b7b5', 'f8c5', 'f7f5', 'b8c6', 'd7d6', 'c7c6']","[490, 3, 13, 3, 68, 1, 1]"
rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 0 1,"['b1c3', 'f2f4', 'g1f3', 'd1e2', 'd2d3', 'd2d4']","[33, 1, 10, 8, 406, 32]"
rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR b KQkq - 0 1,"['f8c5', 'b8c6', 'f6e4', 'f8b4', 'f8e7', 'd7d6', 'c7c6']","[52, 56, 26, 11, 1, 2, 3]"
rnbqk2r/pppp1ppp/5n2/2b1p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR w KQkq - 0 1,"['h2h3', 'g1f3', 'd2d3', 'f2f4']","[1, 2, 40, 18]"
rnbqk2r/pppp1ppp/5n2/2b1p3/2B1P3/2N4P/PPPP1PP1/R1BQK1NR b KQkq - 0 1,"['e8h8', 'b7b5']","[1, 2]"
rnbq1rk1/pppp1ppp/5n2/2b1p3/2B1P3/2N4P/PPPP1PP1/R1BQK1NR w KQ - 0 1,['a2a3'],[1]
rnbq1rk1/pppp1ppp/5n2/2b1p3/2B1P3/P1N4P/1PPP1PP1/R1BQK1NR b KQ - 0 1,['c7c6'],[1]
rnbqkbnr/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQKBNR b KQkq f3 0 1,"['e5f4', 'f8c5', 'd7d5', 'd7d6', 'f7f6', 'f7f5', 'b8c6', 'g8f6', 'c7c6']","[744, 95, 116, 10, 2, 2, 13, 3, 1]"
rnbqkbnr/pppp1ppp/8/8/4Pp2/8/PPPP2PP/RNBQKBNR w KQkq - 0 1,"['g1f3', 'f1c4', 'f1e2', 'b1c3', 'h2h4', 'd1f3']","[462, 256, 6, 17, 1, 2]"
rnbqkbnr/pppp1ppp/8/8/4Pp2/5N2/PPPP2PP/RNBQKB1R b KQkq - 0 1,"['g7g5', 'c7c6', 'd7d6', 'f7f5', 'd7d5', 'g8f6', 'h7h6', 'g8e7', 'f8e7', 'f8c5']","[317, 3, 19, 5, 40, 21, 18, 12, 26, 1]"
rnbqkbnr/pppp1p1p/8/6p1/4Pp2/5N2/PPPP2PP/RNBQKB1R w KQkq g6 0 1,"['f1c4', 'h2h4', 'd2d4']","[132, 176, 9]"
rnbqkbnr/pppp1p1p/8/6p1/2B1Pp2/5N2/PPPP2PP/RNBQK2R b KQkq - 0 1,"['f8g7', 'g5g4', 'd7d6']","[59, 71, 2]"
rnbqk1nr/pppp1pbp/8/6p1/2B1Pp2/5N2/PPPP2PP/RNBQK2R w KQkq - 0 1,"['d2d4', 'e1h1', 'h2h4', 'c2c3', 'd2d3']","[32, 12, 12, 1, 2]"
rnbqk1nr/pppp1pbp/8/6p1/2BPPp2/5N2/PPP3PP/RNBQK2R b KQkq d3 0 1,"['d7d6', 'h7h6', 'b8c6']","[25, 7, 2]"
rnbqkbnr/pppp1ppp/8/4p3/3PP3/8/PPP2PPP/RNBQKBNR b KQkq d3 0 1,"['e5d4', 'd7d6', 'f7f6', 'b8c6', 'd8e7', 'd7d5']","[200, 5, 1, 2, 1, 1]"
rnbqkbnr/pppp1ppp/8/8/3pP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 1,"['f1c4', 'g1f3', 'c2c3', 'd1d4', 'f2f4']","[7, 59, 86, 48, 1]"
rnbqkbnr/pppp1ppp/8/8/2BpP3/8/PPP2PPP/RNBQK1NR b KQkq - 0 1,"['b8c6', 'f8b4']","[5, 2]"
r1bqkbnr/pppp1ppp/2n5/8/2BpP3/8/PPP2PPP/RNBQK1NR w KQkq - 0 1,['g1f3'],[5]
r1bqkbnr/pppp1ppp/2n5/8/2BpP3/5N2/PPP2PPP/RNBQK2R b KQkq - 0 1,"['d8f6', 'f8c5', 'f8b4', 'g8f6', 'd7d6', 'h7h6']","[1, 95, 2, 36, 6, 1]"
r1b1kbnr/pppp1ppp/2n2q2/8/2BpP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 1,['e1h1'],[1]
r1b1kbnr/pppp1ppp/2n2q2/8/2BpP3/5N2/PPP2PPP/RNBQ1RK1 b kq - 0 1,['d7d6'],[1]
rnbqkbnr/pppp1p1p/8/6p1/4Pp1P/5N2/PPPP2P1/RNBQKB1R b KQkq h3 0 1,"['g5g4', 'f7f6']","[174, 2]"
rnbqkbnr/pppp1p1p/8/8/4PppP/5N2/PPPP2P1/RNBQKB1R w KQkq - 0 1,"['f3e5', 'f3g5']","[156, 18]"
rnbqkbnr/pppp1p1p/8/4N3/4PppP/8/PPPP2P1/RNBQKB1R b KQkq - 0 1,"['h7h5', 'g8f6', 'd7d6', 'f8g7', 'b8c6', 'f8e7', 'd7d5']","[34, 84, 16, 17, 1, 3, 1]"
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq d6 0 1,"['e4d5', 'e4e5', 'd2d4', 'b1c3']","[719, 3, 1, 5]"
rnbqkbnr/ppp1pppp/8/3P4/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"['g8f6', 'd8d5', 'c7c6']","[192, 524, 3]"
rnbqkb1r/ppp1pppp/5n2/3P4/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 1,"['g1f3', 'd2d4', 'f1b5', 'c2c4', 'b1c3']","[37, 108, 16, 28, 3]"
rnbqkb1r/ppp1pppp/5n2/3P4/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 1,"['c8g4', 'f6d5', 'd8d5', 'e7e6']","[3, 28, 5, 1]"
rn1qkb1r/ppp1pppp/5n2/3P4/6b1/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 1,"['f1e2', 'h2h3']","[1, 2]"
rn1qkb1r/ppp1pppp/5n2/3P4/6b1/5N2/PPPPBPPP/RNBQK2R b KQkq - 0 1,['f6d5'],[1]
rn1qkb1r/ppp1pppp/8/3n4/6b1/5N2/PPPPBPPP/RNBQK2R w KQkq - 0 1,['e1h1'],[1]
rn1qkb1r/ppp1pppp/8/3n4/6b1/5N2/PPPPBPPP/RNBQ1RK1 b kq - 0 1,['e7e6'],[1]
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq c6 0 1,"['d2d4', 'f1c4', 'f2f4', 'b2b3', 'g1f3', 'c2c4', 'b1c3', 'g2g3', 'b2b4', 'c2c3', 'g1e2', 'd1h5', 'd2d3', 'f1e2', 'b1a3', 'a2a3', 'f2f3']","[70, 10, 71, 104, 23494, 23, 1590, 56, 40, 613, 149, 6, 43, 10, 6, 12, 2]"
rnbqkbnr/pp1ppppp/8/2p5/3PP3/8/PPP2PPP/RNBQKBNR b KQkq d3 0 1,"['c5d4', 'd7d5', 'd7d6', 'e7e6', 'b8c6']","[65, 1, 5, 4, 2]"
rnbqkbnr/pp1ppppp/8/8/3pP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 1,"['g1f3', 'c2c3', 'd1d4']","[28, 35, 2]"
rnbqkbnr/pp1ppppp/8/8/3pP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 1,"['b8c6', 'e7e5', 'e7e6', 'g7g6', 'g8f6', 'd7d6', 'a7a6']","[9, 6, 5, 2, 2, 2, 2]"
r1bqkbnr/pp1ppppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 1,"['f1c4', 'f3d4']","[1, 3579]"
r1bqkbnr/pp1ppppp/2n5/8/2BpP3/5N2/PPP2PPP/RNBQK2R b KQkq - 0 1,['e7e6'],[1]
r1bqkbnr/pp1p1ppp/2n1p3/8/2BpP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 1,['f3d4'],[1]
r1bqkbnr/pp1p1ppp/2n1p3/8/2BNP3/8/PPP2PPP/RNBQK2R b KQkq - 0 1,"['f8c5', 'g8f6']","[1, 1]"
rnbqkbnr/pppp1p1p/8/8/2B1Ppp1/5N2/PPPP2PP/RNBQK2R w KQkq - 0 1,"['e1h1', 'b1c3', 'f3e5', 'c4f7', 'd2d4']","[45, 5, 14, 2, 5]"
rnbqkbnr/pppp1p1p/8/8/2B1Ppp1/5N2/PPPP2PP/RNBQ1RK1 b kq - 0 1,"['g4f3', 'd8e7', 'd7d5']","[33, 11, 1]"
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 1,"['b8c6', 'g8f6', 'd7d6', 'd7d5', 'f7f5', 'f7f6', 'f8d6', 'a7a5', 'd8e7', 'd8f6']","[24167, 3545, 251, 26, 19, 2, 1, 1, 9, 2]"
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 1,"['f1c4', 'c2c3', 'd2d4', 'f1b5', 'b1c3', 'g2g3', 'f1e2', 'd2d3', 'f1d3', 'f3g1']","[3805, 81, 1291, 18046, 925, 30, 10, 10, 1, 1]"
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 0 1,"['g8f6', 'f8c5', 'f8e7', 'h7h6', 'd7d6', 'g7g6', 'f7f5']","[771, 3001, 30, 5, 21, 5, 2]"
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 1,"['f3g5', 'd2d4', 'd2d3', 'e1h1', 'b1c3', 'c2c3']","[175, 60, 506, 16, 16, 2]"
r1bqkb1r/pppp1ppp/2n2n2/4p1N1/2B1P3/8/PPPP1PPP/RNBQK2R b KQkq - 0 1,"['d7d5', 'f8c5']","[171, 4]"
r1bqkb1r/ppp2ppp/2n2n2/3pp1N1/2B1P3/8/PPPP1PPP/RNBQK2R w KQkq d6 0 1,['e4d5'],[171]
r1bqkb1r/ppp2ppp/2n2n2/3Pp1N1/2B5/8/PPPP1PPP/RNBQK2R b KQkq - 0 1,"['c6a5', 'b7b5', 'c6d4', 'f6d5']","[158, 5, 6, 2]"
rnbqkbnr/pppp1ppp/8/8/2B1Pp2/8/PPPP2PP/RNBQK1NR b KQkq - 0 1,"['d8h4', 'b7b5', 'd7d5', 'f7f5', 'g8f6', 'c7c6', 'g8e7', 'g7g5', 'b8c6', 'd7d6', 'f8e7']","[74, 2, 86, 10, 63, 10, 4, 3, 1, 2, 1]"
rnb1kbnr/pppp1ppp/8/8/2B1Pp1q/8/PPPP2PP/RNBQK1NR w KQkq - 0 1,['e1f1'],[74]
rnb1kbnr/pppp1ppp/8/8/2B1Pp1q/8/PPPP2PP/RNBQ1KNR b kq - 0 1,"['g7g5', 'f8c5', 'd7d6', 'b7b5', 'd7d5', 'b8c6', 'h4f6', 'g8f6']","[31, 2, 11, 20, 5, 3, 1, 1]"
rnb1kbnr/pppp1p1p/8/6p1/2B1Pp1q/8/PPPP2PP/RNBQ1KNR w kq g6 0 1,"['b1c3', 'd2d4', 'g1f3']","[20, 9, 2]"
rnb1kbnr/pppp1p1p/8/6p1/2B1Pp1q/2N5/PPPP2PP/R1BQ1KNR b kq - 0 1,"['f8g7', 'g8f6']","[19, 1]"
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq d3 0 1,"['d7d5', 'f7f5', 'e7e6', 'c7c5', 'b7b6', 'g8f6', 'b7b5', 'e7e5', 'c7c6', 'd7d6', 'g7g6', 'b8c6', 'b8a6']","[13519, 846, 1910, 115, 20, 39052, 11, 8, 41, 680, 466, 53, 2]"
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq d6 0 1,"['c2c4', 'g1f3', 'e2e3', 'c1g5', 'c2c3', 'c1f4', 'e2e4', 'b1c3', 'f2f4', 'b1d2', 'g2g3', 'a2a3']","[11518, 1516, 88, 128, 7, 190, 3, 60, 1, 4, 3, 1]"
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq c3 0 1,"['e7e6', 'd5c4', 'g8f6', 'c7c6', 'e7e5', 'b8c6', 'c8f5', 'g7g6', 'c7c5']","[3125, 1349, 41, 6696, 131, 131, 13, 3, 29]"
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 1,"['e2e3', 'a2a3', 'b1c3', 'g1f3', 'g2g3', 'c1f4', 'c4d5']","[5, 2, 2297, 985, 5, 1, 3]"
